CONTROL,VIV_SEL,HOGAR,RESUL_H,N_INF,R_SEL,TOT_PER,FAC_HOG,DOM,EST,UPM
0100001,01,01,B,01,01,02,000191,U,005,00001
0100001,02,01,B,02,02,03,000191,U,005,00001
0100001,03,01,B,03,01,07,000191,U,005,00001
0100001,04,01,A,01,01,05,000191,U,005,00001
0100001,05,01,B,01,03,06,000191,U,005,00001
0100005,01,01,B,01,01,05,000179,U,004,00002
0100005,02,01,B,04,02,08,000179,U,004,00002
0100005,04,01,B,01,02,02,000179,U,004,00002
0100005,05,01,B,03,02,03,000179,U,004,00002
0100007,01,01,B,01,02,05,000173,U,004,00003
0100007,02,01,B,01,02,04,000173,U,004,00003
0100007,04,01,A,01,02,05,000173,U,004,00003
0100007,05,01,A,01,01,03,000173,U,004,00003
0100008,02,01,B,01,01,06,000157,U,005,00004
0100008,03,01,B,01,01,04,000157,U,005,00004
0100008,04,01,A,02,01,04,000157,U,005,00004
0100008,05,01,B,02,01,03,000157,U,005,00004
0100009,01,01,B,01,02,04,000126,U,004,00005
0100009,02,01,B,02,02,05,000126,U,004,00005
0100009,03,01,B,02,03,06,000126,U,004,00005
0100009,04,01,B,02,01,06,000126,U,004,00005
0100009,05,01,B,02,02,05,000126,U,004,00005
0100011,01,01,B,02,01,04,000193,U,006,00006
0100011,04,01,B,05,02,05,000193,U,006,00006
0100012,01,01,A,01,01,01,000147,U,004,00007
0100012,02,01,A,01,01,03,000147,U,004,00007
0100012,03,01,A,01,01,02,000147,U,004,00007
0100012,04,01,B,01,01,01,000147,U,004,00007
0100012,05,01,A,05,01,04,000147,U,004,00007
0100013,01,01,B,01,01,02,000170,U,005,00008
0100013,03,01,A,01,02,04,000170,U,005,00008
0100013,04,01,B,02,02,04,000170,U,005,00008
0100013,05,01,B,03,03,05,000170,U,005,00008
0100014,01,01,B,02,01,03,000136,U,005,00009
0100014,02,01,B,02,02,03,000136,U,005,00009
0100014,03,01,B,02,02,05,000136,U,005,00009
0100014,04,01,A,03,03,06,000136,U,005,00009
0100015,01,01,B,02,01,06,000155,U,004,00010
0100015,02,01,B,03,01,04,000155,U,004,00010
0100015,03,01,B,02,01,05,000155,U,004,00010
0100015,03,02,B,02,02,05,000155,U,004,00010
0100015,04,01,A,04,04,04,000155,U,004,00010
0100015,05,01,B,01,01,01,000155,U,004,00010
0100016,01,01,B,02,02,04,000171,U,005,00011
0100016,02,01,A,02,02,04,000171,U,005,00011
0100016,03,01,B,02,02,04,000171,U,005,00011
0100016,04,01,B,02,01,03,000171,U,005,00011
0100016,05,01,B,03,01,06,000171,U,005,00011
0100017,01,01,A,01,01,01,000173,U,005,00012
0100017,02,01,B,01,01,01,000173,U,005,00012
0100017,03,01,B,02,02,03,000173,U,005,00012
0100017,04,01,B,01,03,05,000173,U,005,00012
0100017,05,01,A,03,02,03,000173,U,005,00012
0100023,01,01,B,02,02,04,000180,U,004,00013
0100023,02,01,B,01,02,02,000180,U,004,00013
0100023,03,01,A,01,02,03,000180,U,004,00013
0100023,04,01,A,01,02,04,000180,U,004,00013
0100023,05,01,B,02,01,06,000180,U,004,00013
0100024,02,01,B,02,01,04,000183,U,006,00014
0100024,03,01,B,01,02,02,000183,U,006,00014
0100024,04,01,A,01,04,05,000183,U,006,00014
0100024,05,01,A,02,02,02,000183,U,006,00014
0140001,01,01,B,01,02,05,000185,U,005,00015
0140001,02,01,B,01,01,02,000185,U,005,00015
0140001,03,01,B,02,02,04,000185,U,005,00015
0140001,05,01,B,01,01,02,000185,U,005,00015
0140002,01,01,B,02,03,03,000184,U,005,00016
0140002,03,01,A,02,01,05,000184,U,005,00016
0140002,04,01,A,02,01,03,000184,U,005,00016
0140002,05,01,B,01,01,04,000184,U,005,00016
0140003,01,01,B,02,01,03,000159,U,004,00017
0140003,02,01,B,01,01,01,000159,U,004,00017
0140003,03,01,B,03,04,07,000159,U,004,00017
0140003,04,01,B,01,02,02,000159,U,004,00017
0140003,05,01,B,10,01,10,000159,U,004,00017
0140004,01,01,A,06,01,06,000205,U,006,00018
0140004,02,01,A,01,01,06,000205,U,006,00018
0140004,03,01,A,02,01,04,000205,U,006,00018
0140004,04,01,A,01,02,04,000205,U,006,00018
0140004,05,01,B,04,01,04,000205,U,006,00018
0140006,01,01,B,04,01,04,000237,U,004,00019
0140006,02,01,B,05,02,05,000237,U,004,00019
0140006,03,01,B,01,02,07,000237,U,004,00019
0140006,04,01,A,02,02,04,000237,U,004,00019
0140006,05,01,B,01,01,02,000237,U,004,00019
0140009,01,01,A,02,01,02,000197,U,006,00020
0140009,02,01,A,02,03,03,000197,U,006,00020
0140009,03,01,A,05,01,05,000197,U,006,00020
0140009,04,01,A,01,03,04,000197,U,006,00020
0140009,05,01,A,02,02,03,000197,U,006,00020
0140011,01,01,B,01,01,03,000169,U,005,00021
0140011,02,01,A,01,01,03,000169,U,005,00021
0140011,03,01,A,02,02,03,000169,U,005,00021
0140011,04,01,A,02,01,03,000169,U,005,00021
0140011,05,01,B,02,03,05,000169,U,005,00021
0140012,01,01,B,02,01,05,000150,U,004,00022
0140012,02,01,A,02,02,02,000150,U,004,00022
0140012,03,01,A,01,02,03,000150,U,004,00022
0140012,04,01,B,01,01,03,000150,U,004,00022
0140012,05,01,B,02,02,04,000150,U,004,00022
0140014,01,01,B,01,01,03,000177,U,005,00023
0140014,02,01,B,02,02,02,000177,U,005,00023
0140014,03,01,B,01,01,01,000177,U,005,00023
0140014,04,01,A,02,02,03,000177,U,005,00023
0140014,05,01,B,02,01,02,000177,U,005,00023
0140017,01,01,B,01,02,04,000213,U,006,00024
0140017,02,01,B,02,02,04,000213,U,006,00024
0140017,03,01,B,03,03,03,000213,U,006,00024
0140017,04,01,B,02,01,04,000213,U,006,00024
0140019,01,01,A,01,01,04,000137,U,004,00025
0140019,02,01,B,01,01,06,000137,U,004,00025
0140019,03,01,B,01,01,08,000137,U,004,00025
0140019,04,01,B,01,02,08,000137,U,004,00025
0140019,05,01,B,01,01,06,000137,U,004,00025
0140020,01,01,A,01,02,03,000177,U,005,00026
0140020,02,01,B,01,01,02,000177,U,005,00026
0140020,03,01,B,01,01,02,000177,U,005,00026
0140020,04,01,A,01,01,01,000177,U,005,00026
0140020,05,01,B,01,02,05,000177,U,005,00026
0140021,01,01,B,01,01,02,000199,U,006,00027
0140021,02,01,B,01,01,02,000199,U,006,00027
0140021,03,01,B,01,01,01,000199,U,006,00027
0140021,04,01,B,01,01,01,000199,U,006,00027
0140021,05,01,B,04,03,04,000199,U,006,00027
0140022,01,01,A,02,02,02,000185,U,004,00028
0140022,02,01,A,01,01,06,000185,U,004,00028
0140022,03,01,B,03,01,03,000185,U,004,00028
0140022,04,01,B,01,02,02,000185,U,004,00028
0140022,05,01,A,02,03,03,000185,U,004,00028
0140023,01,01,B,01,01,04,000166,U,005,00029
0140023,02,01,A,02,03,03,000166,U,005,00029
0140023,03,01,B,02,01,02,000166,U,005,00029
0140023,04,01,B,02,01,05,000166,U,005,00029
0140023,05,01,B,01,01,04,000166,U,005,00029
0140026,01,01,B,02,01,02,000180,U,004,00030
0140026,02,01,A,01,01,01,000180,U,004,00030
0140026,03,01,B,01,01,01,000180,U,004,00030
0140026,03,02,B,01,01,01,000180,U,004,00030
0140026,04,01,A,01,02,02,000180,U,004,00030
0140026,05,01,A,02,01,04,000180,U,004,00030
0140027,01,01,A,01,01,04,000185,U,005,00031
0140027,02,01,A,03,03,05,000185,U,005,00031
0140027,03,01,B,01,01,02,000185,U,005,00031
0140027,04,01,B,01,01,03,000185,U,005,00031
0140027,05,01,A,02,02,04,000185,U,005,00031
0140028,01,01,B,01,01,02,000151,U,005,00032
0140028,02,01,B,02,03,05,000151,U,005,00032
0140028,03,01,A,01,02,02,000151,U,005,00032
0140028,04,01,B,04,03,06,000151,U,005,00032
0140028,05,01,A,02,02,03,000151,U,005,00032
0140031,01,01,A,01,01,03,000212,U,005,00033
0140031,02,01,A,02,01,05,000212,U,005,00033
0140031,03,01,B,02,02,03,000212,U,005,00033
0140031,05,01,A,01,01,01,000212,U,005,00033
0140032,01,01,B,02,02,06,000200,U,004,00034
0140032,02,01,A,02,02,05,000200,U,004,00034
0140032,03,01,A,02,02,04,000200,U,004,00034
0140032,04,01,B,02,01,04,000200,U,004,00034
0140032,05,01,A,04,02,10,000200,U,004,00034
0140032,05,02,B,02,01,02,000200,U,004,00034
0140033,01,01,B,02,04,05,000180,U,005,00035
0140033,02,01,B,01,01,02,000180,U,005,00035
0140033,03,01,B,01,01,01,000180,U,005,00035
0140033,04,01,B,02,02,03,000180,U,005,00035
0140033,05,01,B,01,01,01,000180,U,005,00035
0140034,01,01,A,02,03,04,000187,U,005,00036
0140034,02,01,A,01,01,03,000187,U,005,00036
0140034,03,01,A,01,01,01,000187,U,005,00036
